"artist","song","explicit","year","popularity","speechiness","tempo","loudness","acousticness","valence"
"Craig David","Fill Me In",FALSE,2000,60,0.0365,132.493,-6.981,0.376,0.827
"Christina Aguilera","I Turn to You",FALSE,1999,61,0.0376,127.177,-8.356,0.38,0.298
"Madonna","American Pie",FALSE,2000,58,0.036,124.036,-7.48,0.348,0.591
"Red Hot Chili Peppers","Otherside",FALSE,1999,78,0.0574,123.229,-3.265,0.00316,0.513
"Sammie","I Like It",FALSE,2000,55,0.0617,129.963,-8.529,0.0101,0.852
"Craig David","7 Days",FALSE,2000,70,0.0487,83.014,-7.499,0.23,0.888
"Santana","Maria Maria (feat. The Product G&B)",FALSE,1999,66,0.126,97.911,-5.931,0.0406,0.68
"Kandi","Don't Think I'm Not",FALSE,2000,55,0.0445,134.007,-8.196,0.0661,0.433
"P!nk","There You Go",FALSE,2000,55,0.0917,107.908,-6.729,0.0854,0.668
"Vengaboys","Shalala Lala",FALSE,2000,58,0.0328,124.017,-5.802,0.0504,0.973
"Ronan Keating","Life Is A Rollercoaster",FALSE,2000,59,0.0302,118.981,-8.923,0.1,0.862
"Madison Avenue","Don't Call Me Baby",FALSE,1999,56,0.0311,124.999,-6.588,0.0585,0.961
"Destiny's Child","Jumpin', Jumpin'",FALSE,1999,70,0.0567,88.997,-4.639,0.00543,0.683
"Céline Dion","That's the Way It Is",FALSE,1999,64,0.0434,93.04,-5.424,0.154,0.577
"3 Doors Down","Kryptonite",FALSE,2000,78,0.0286,99.009,-5.708,0.00664,0.543
"Carl Thomas","I Wish",FALSE,2000,52,0.0337,89.824,-4.929,0.0593,0.224
"Mystikal","Shake Ya Ass",TRUE,2000,57,0.32,98.054,-5.658,0.0626,0.666
"Fuel","Hemorrhage (In My Hands)",FALSE,2000,49,0.0404,152.034,-3.894,0.000127,0.332
"Donell Jones","Where I Wanna Be",FALSE,1999,57,0.0298,102.053,-9.131,0.52,0.453
"Savage Garden","Crash and Burn",FALSE,1999,54,0.028,102.03,-8.458,0.189,0.213
"Westlife","My Love",FALSE,2000,68,0.0255,144.142,-5.975,0.098,0.328
"All Saints","Pure Shores",FALSE,2000,62,0.0242,100.618,-9.197,0.0498,0.407
"Destiny's Child","Independent Women, Pt. 1",FALSE,2001,65,0.206,97.954,-3.782,0.362,0.927
"*NSYNC","It's Gonna Be Me",FALSE,2000,60,0.0801,165.09,-4.666,0.0459,0.882
"Erykah Badu","Bag Lady",FALSE,2000,54,0.0841,151.181,-8.964,0.365,0.578
"Marc Anthony","You Sang To Me",FALSE,1999,56,0.0296,165.98,-5.42,0.0103,0.741
"Matchbox Twenty","Bent",FALSE,2000,54,0.0386,95.468,-6.814,0.0404,0.527
"Gabrielle","Rise",FALSE,2001,60,0.026,144.673,-9.487,0.315,0.631
"Backstreet Boys","Shape of My Heart",FALSE,2000,70,0.0296,96.102,-4.353,0.252,0.518
"Creed","With Arms Wide Open",FALSE,1999,64,0.0302,138.852,-8.412,0.00425,0.141
"The Corrs","Breathless",FALSE,2000,68,0.0597,126.988,-7.754,0.0541,0.768
"Joe","I Wanna Know",FALSE,2000,65,0.0368,136.086,-5.959,0.26,0.599
"Wheatus","Teenage Dirtbag",TRUE,1999,71,0.0495,94.661,-3.904,0.346,0.633
"Christina Aguilera","Come on over Baby (All I Want Is You) - Radio Version",FALSE,1999,64,0.106,118.903,-3.205,0.226,0.779
"Creed","Higher",FALSE,1999,69,0.0364,155.827,-6.254,5.15e-05,0.431
"Britney Spears","Lucky",FALSE,2000,65,0.0317,95.026,-5.707,0.262,0.966
