"artist","song","explicit","year","popularity","speechiness","tempo","genre"
"Creed","With Arms Wide Open",FALSE,1999,64,0.0302,138.852,"pop, rock, metal"
"The Corrs","Breathless",FALSE,2000,68,0.0597,126.988,"pop, Folk/Acoustic"
"Joe","I Wanna Know",FALSE,2000,65,0.0368,136.086,"pop, R&B"
"Wheatus","Teenage Dirtbag",TRUE,1999,71,0.0495,94.661,"set()"
"Christina Aguilera","Come on over Baby (All I Want Is You) - Radio Version",FALSE,1999,64,0.106,118.903,"pop"
"Creed","Higher",FALSE,1999,69,0.0364,155.827,"pop, rock, metal"
"Britney Spears","Lucky",FALSE,2000,65,0.0317,95.026,"pop"
"Nelly","Country Grammar (Hot Shit)",TRUE,2000,68,0.108,162.831,"hip hop, pop, R&B"
"Shaggy","It Wasn't Me",FALSE,2000,76,0.0713,94.759,"hip hop, pop"
"Destiny's Child","Survivor",FALSE,2001,70,0.41,161.109,"pop, R&B"
"Eminem","Stan",TRUE,2000,83,0.238,80.063,"hip hop"
"Kylie Minogue","Can't Get You out of My Head",FALSE,2001,73,0.0339,126.007,"pop, Dance/Electronic"
"Christina Aguilera","Lady Marmalade - From ""Moulin Rouge"" Soundtrack",FALSE,2001,68,0.0534,109.919,"pop"
"Nelly Furtado","I'm Like A Bird",FALSE,2000,1,0.036,89.661,"hip hop, pop, latin"
"Shakira","Whenever, Wherever",FALSE,2001,74,0.0407,107.657,"pop, latin"
"Jimmy Eat World","The Middle",FALSE,2001,78,0.0526,162.152,"rock, pop"
"Train","Drops of Jupiter (Tell Me)",FALSE,2001,77,0.0276,79.064,"pop"
"Geri Halliwell","It's Raining Men",FALSE,2001,62,0.0447,136.482,"pop"
"Blu Cantrell","Hit 'Em Up Style (Oops!)",FALSE,2001,71,0.0586,89.976,"pop, R&B"
"Britney Spears","I'm a Slave 4 U",FALSE,2001,69,0.106,110.027,"pop"
"Kylie Minogue","In Your Eyes",FALSE,2001,62,0.0672,123.971,"pop, Dance/Electronic"
"Missy Elliott","One Minute Man (feat. Ludacris)",TRUE,2001,57,0.329,93.839,"hip hop, pop, R&B"
"Mary J. Blige","Family Affair",FALSE,2001,76,0.0449,92.887,"pop, R&B"
"Faithless","We Come 1 - Radio Edit",FALSE,2015,53,0.0441,135.977,"pop, Dance/Electronic"
"Limp Bizkit","Rollin' (Air Raid Vehicle)",TRUE,2000,73,0.171,96.306,"metal"
"Lasgo","Something",FALSE,2001,65,0.0439,140.01,"pop"
"iio","Rapture (feat.Nadia Ali)",FALSE,2006,54,0.0377,123.943,"Dance/Electronic"
"Emma Bunton","What Took You So Long?",FALSE,2001,54,0.0307,118.011,"pop"
"112","It's Over Now",FALSE,2001,57,0.0409,97.988,"hip hop, pop, R&B"
"Blue","All Rise",FALSE,2001,63,0.0324,97.996,"pop"
"Jessica Simpson","Irresistible",FALSE,2001,43,0.0556,93.013,"pop, R&B"
"Crazy Town","Butterfly",FALSE,1999,71,0.081,103.502,"rock, metal"
"Michael Jackson","You Rock My World",FALSE,2001,64,0.185,95,"pop, R&B"
"Eve","Let Me Blow Ya Mind",TRUE,2001,73,0.107,90.032,"hip hop, pop, R&B"
"Jennifer Lopez","Ain't It Funny",FALSE,2001,0,0.0481,99.825,"hip hop, pop, R&B"
"Brandy","Another Day in Paradise - R&B-Version",FALSE,2002,50,0.0327,102.043,"hip hop, pop, R&B"
"Nickelback","How You Remind Me",FALSE,2001,78,0.033,172.094,"rock, metal"
"Daft Punk","One More Time",FALSE,2001,76,0.133,122.746,"hip hop, Dance/Electronic"
"Outkast","Ms. Jackson",TRUE,2000,82,0.269,94.948,"hip hop, pop"
"Fragma","Everytime You Need Me - Radio Version",FALSE,2001,50,0.0318,137.029,"pop, Dance/Electronic"
"Mariah Carey","Loverboy",FALSE,2001,42,0.124,103.141,"pop, R&B"
"Dido","Thank You",FALSE,1999,73,0.0427,79.984,"pop"
"Joe","Stutter (feat. Mystikal) - Double Take Remix",FALSE,2000,57,0.117,89.989,"pop, R&B"
"P.O.D.","Youth of the Nation",FALSE,2001,69,0.0621,97.867,"rock, metal"
"Jennifer Lopez","Play",TRUE,2001,57,0.162,104.719,"hip hop, pop, R&B"
"Missy Elliott","Get Ur Freak On",TRUE,2001,68,0.247,177.87,"hip hop, pop, R&B"
"Ricky Martin","Nobody Wants to Be Lonely (with Christina Aguilera)",FALSE,2008,52,0.0612,100.851,"pop, latin"
"Christina Milian","AM To PM",FALSE,2001,60,0.12,105.005,"hip hop, pop, R&B"
"Roger Sanchez","Another Chance",FALSE,2000,50,0.0312,127.993,"Dance/Electronic"
"Gorillaz","Clint Eastwood",TRUE,2001,74,0.171,167.953,"hip hop"
"2Pac","Until The End Of Time",TRUE,2001,57,0.203,96.976,"hip hop"
"Tamia","Stranger in My House",FALSE,2000,48,0.0297,119.94,"pop, R&B"
"Mary J. Blige","No More Drama",FALSE,2001,61,0.124,97.914,"pop, R&B"
"Jennifer Lopez","Love Don't Cost a Thing",FALSE,2001,67,0.0707,97.577,"hip hop, pop, R&B"
"Jamiroquai","Little L",FALSE,2001,65,0.129,121.906,"pop"
"Case","Missing You",FALSE,2001,55,0.0553,86.31,"hip hop, pop, R&B"
"112","Peaches & Cream",FALSE,2001,63,0.334,203.862,"hip hop, pop, R&B"
"Five","Let's Dance - Radio Edit",FALSE,2001,47,0.0867,118.007,"pop"
"Rui Da Silva","Touch Me (Radio Edit) [feat. Cassandra]",FALSE,2001,54,0.0638,129.078,"Dance/Electronic"
"Alien Ant Farm","Smooth Criminal",FALSE,2001,75,0.0582,126.928,"rock, metal"
"Erick Sermon","Music (feat. Marvin Gaye)",TRUE,2001,57,0.203,100.01,"hip hop, pop"
"D12","Purple Pills",TRUE,2001,68,0.16,125.25,"hip hop, pop, rock"
"Usher","Pop Ya Collar - Radio Edit",FALSE,2016,26,0.0946,106.957,"hip hop, pop, R&B"
"Madonna","Don't Tell Me",FALSE,2000,53,0.0594,99.965,"pop"
"Blue","If You Come Back",FALSE,2001,58,0.0319,78.375,"pop"
"Atomic Kitten","Eternal Flame - Single Version",FALSE,2001,58,0.0318,83.293,"pop"
"Jagged Edge","Where the Party At (feat. Nelly)",FALSE,2001,67,0.226,129.491,"hip hop, pop, R&B"
"Afroman","Because I Got High",TRUE,2001,68,0.488,166.01,"hip hop"
"S Club 7","Don't Stop Movin'",FALSE,2001,63,0.0329,117.033,"pop"
"Nelly Furtado","Turn Off The Light",FALSE,2000,1,0.0927,180.184,"hip hop, pop, latin"
"The Supermen Lovers","Starlight - Radio Edit",FALSE,2001,61,0.0373,127.487,"Dance/Electronic"
"Mis-Teeq","All I Want - Sunship Radio Edit",FALSE,2004,46,0.0835,134.079,"pop, Dance/Electronic"
"Jagged Edge","Promise",FALSE,2000,56,0.0872,128.002,"hip hop, pop, R&B"
"S Club 7","Have You Ever",FALSE,2001,60,0.0325,139.909,"pop"
"Enya","Only Time",FALSE,2000,69,0.0301,82.803,"World/Traditional, Folk/Acoustic"
"Faith Hill","There You'll Be",FALSE,2001,60,0.0306,128.98,"pop, country"
"Ronan Keating","Lovin' Each Day",FALSE,2000,58,0.0633,106.676,"pop, rock"
"Destiny's Child","Bootylicious",FALSE,2001,64,0.275,103.376,"pop, R&B"
"Steps","It's the Way You Make Me Feel",FALSE,2000,53,0.0239,105.006,"pop, Dance/Electronic"
"Sunshine Anderson","Heard It All Before",FALSE,2001,56,0.216,96.951,"pop, R&B"
"Lenny Kravitz","Again",FALSE,2000,68,0.0271,79.166,"rock, pop"
"Daniel Bedingfield","Gotta Get Thru This - D'N'D Radio Edit",FALSE,2002,46,0.0598,133.592,"pop"
"DB Boulevard","Point Of View - Radio Edit",FALSE,2018,0,0.0287,129.006,"Dance/Electronic"
"Janet Jackson","All For You",FALSE,2001,65,0.0736,113.525,"pop, R&B"
"Atomic Kitten","Whole Again",FALSE,2001,66,0.0413,94.019,"pop"
"Ja Rule","Livin' It Up",FALSE,2001,64,0.311,106.095,"hip hop, pop, R&B"
"DJ Pied Piper & The Masters Of Ceremonies","Do You Really Like It? - Radio Edit",FALSE,2001,54,0.0493,131.044,"Dance/Electronic"
"Jennifer Lopez","I'm Real (feat. Ja Rule) - Murder Remix",TRUE,2001,66,0.151,83.46,"hip hop, pop, R&B"
"Musiq Soulchild","Love",FALSE,2000,0,0.0499,99.738,"pop, R&B"
"So Solid Crew","21 Seconds",TRUE,2001,51,0.241,137.03,"Dance/Electronic"
"Robbie Williams","Eternity",FALSE,2001,48,0.0265,77.967,"pop, rock"
"Basement Jaxx","Romeo",FALSE,2001,0,0.0491,126.853,"pop, Dance/Electronic"
"Ludacris","Southern Hospitality (Featuring Pharrell)",TRUE,2000,54,0.247,95.158,"hip hop, pop"
"Nelly","Ride Wit Me",TRUE,2000,75,0.0478,101.875,"hip hop, pop, R&B"
"Trick Daddy","I'm a Thug",TRUE,2001,59,0.122,139.976,"hip hop, pop"
"Travis","Sing",FALSE,2001,68,0.0497,163.142,"rock, pop"
"JAY-Z","Izzo (H.O.V.A.)",TRUE,2001,63,0.342,84.411,"hip hop"
"Gabrielle","Out Of Reach",FALSE,2001,69,0.0452,182.862,"pop, R&B"
"OPM","Heaven Is a Halfpipe (If I Die)",TRUE,2000,56,0.0349,95.9,"rock"
"K-Ci & JoJo","Crazy",FALSE,2019,30,0.0258,116.097,"pop, R&B"
"Staind","It's Been Awhile",TRUE,2001,64,0.0338,116.529,"rock, metal"
"3LW","No More (Baby I'ma Do Right)",FALSE,2000,56,0.0631,88.933,"pop, R&B"
"Ginuwine","Differences",FALSE,2001,65,0.0558,62.876,"hip hop, pop, R&B"
"*NSYNC","Gone",FALSE,2001,45,0.0614,113.922,"pop"
"Lifehouse","Hanging By A Moment",FALSE,2000,61,0.0349,124.599,"pop, rock, metal"
"Nelly","Dilemma",TRUE,2002,77,0.14,168.189,"hip hop, pop, R&B"
"Eminem","Without Me",TRUE,2002,87,0.0738,112.238,"hip hop"
"Avril Lavigne","Complicated",FALSE,2002,78,0.0459,77.987,"pop"
"Vanessa Carlton","A Thousand Miles",FALSE,2002,75,0.0379,94.931,"Folk/Acoustic, pop"
"The Calling","Wherever You Will Go",FALSE,2001,72,0.0267,112.027,"pop"
"Shakira","Underneath Your Clothes",FALSE,2001,64,0.0415,165.508,"pop, latin"
"No Doubt","Underneath It All",FALSE,2001,27,0.0684,138.202,"rock, pop"
"Truth Hurts","Addictive",TRUE,2002,58,0.147,99.271,"pop, R&B"
"Busta Rhymes","I Know What You Want (feat. Flipmode Squad)",TRUE,2002,68,0.306,85.996,"hip hop, pop"
"Eminem","'Till I Collapse",TRUE,2002,85,0.186,171.447,"hip hop"
"Diddy","I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",FALSE,2004,69,0.483,199.764,"hip hop, pop"
"Christina Milian","When You Look At Me - Radio Edit",FALSE,2001,60,0.127,108.955,"hip hop, pop, R&B"
"Madonna","Die Another Day",FALSE,2003,53,0.0901,123.993,"pop"
"Jennifer Lopez","I'm Gonna Be Alright (feat. Nas)",FALSE,2002,53,0.265,93.401,"hip hop, pop, R&B"
"Angie Martinez","If I Could Go! (feat. Lil' Mo & Sacario)",FALSE,2019,40,0.355,195.685,"pop"
"Las Ketchup","The Ketchup Song (Aserejé) - Spanglish Version",FALSE,2002,66,0.0948,184.819,"set()"
"Aaliyah","Rock The Boat",FALSE,2019,0,0.0336,92.988,"hip hop, pop, R&B"
"Holly Valance","Kiss Kiss",FALSE,2002,54,0.125,97.036,"pop, Dance/Electronic"
"Sugababes","Round Round",FALSE,2002,59,0.0338,126.607,"pop, R&B"
"Marilyn Manson","Tainted Love",FALSE,2003,60,0.0728,142.017,"rock, metal"
"Brandy","What About Us?",FALSE,2002,43,0.223,93.118,"hip hop, pop, R&B"
"Chad Kroeger","Hero (feat. Josey Scott)",FALSE,2003,66,0.0364,147.387,"metal"
"Britney Spears","Overprotected - Radio Edit",FALSE,2001,61,0.0727,95.992,"pop"
"Scooter","The Logical Song",FALSE,2013,46,0.0382,144.043,"pop, Dance/Electronic"
"Missy Elliott","4 My People (feat. Eve)",TRUE,2001,49,0.156,121.392,"hip hop, pop, R&B"
"Aaliyah","More Than A Woman",FALSE,2002,42,0.0787,86.994,"hip hop, pop, R&B"
"Brandy","Full Moon",FALSE,2002,52,0.139,105.922,"hip hop, pop, R&B"
"Blue","One Love",FALSE,2002,60,0.0358,95.012,"pop"
"Busta Rhymes","Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix",TRUE,2001,55,0.323,89.767,"hip hop, pop"
"Céline Dion","A New Day Has Come - Radio Remix",FALSE,2001,59,0.035,91.969,"pop"
"Scooter","Nessaja",FALSE,2013,47,0.0364,143.048,"pop, Dance/Electronic"
"Eve","Gangsta Lovin'",TRUE,2002,58,0.0608,94.332,"hip hop, pop, R&B"
"Disturbing Tha Peace","Move Bitch",TRUE,2002,59,0.133,177.894,"hip hop, pop"
"Khia","My Neck, My Back (Lick It)",TRUE,2015,59,0.13,102.072,"pop, R&B"
"Tweet","Oops (Oh My) [feat. Missy Elliott]",TRUE,2002,64,0.29,159.963,"hip hop, pop, R&B"
"Nelly","Hot In Herre",TRUE,2002,75,0.12,107.075,"hip hop, pop, R&B"
"Gareth Gates","Anyone of Us (Stupid Mistake)",FALSE,2003,53,0.0261,106.986,"pop"
"Christina Aguilera","Dirrty (feat. Redman)",FALSE,2002,68,0.322,99.931,"pop"
"B2K","Uh Huh",FALSE,2002,49,0.0688,99.699,"hip hop, pop, R&B"
"Sugababes","Freak Like Me",FALSE,2002,45,0.0925,91.868,"pop, R&B"
"Dirty Vegas","Days Go By",FALSE,2002,48,0.0688,126.99,"Dance/Electronic"
"Fat Joe","What's Luv? (feat. Ja-Rule & Ashanti)",TRUE,2001,73,0.0598,93.955,"hip hop, pop"
"Liberty X","Just A Little",FALSE,2019,43,0.0574,103.887,"pop"
"No Doubt","Hella Good",FALSE,2001,26,0.035,115.142,"rock, pop"
"LL Cool J","Luv U Better",FALSE,2002,2,0.239,95.022,"hip hop, pop, R&B"
"Red Hot Chili Peppers","Can't Stop",FALSE,2002,80,0.0456,91.455,"rock"
"Musiq Soulchild","Halfcrazy",FALSE,2002,58,0.18,101.955,"pop, R&B"
"Sean Paul","Gimme the Light",TRUE,2002,59,0.0525,107.288,"hip hop, pop"
"Faith Evans","I Love You",FALSE,2001,53,0.0926,168.004,"hip hop, pop, R&B"
"Charli Baltimore","Down 4 U",TRUE,2002,47,0.32,83.133,"pop"
"Kylie Minogue","Love at First Sight",FALSE,2001,55,0.0428,124.994,"pop, Dance/Electronic"
"N.O.R.E.","Nothin'",TRUE,2002,58,0.151,97.035,"hip hop, pop"
"Gareth Gates","Unchained Melody",FALSE,2003,35,0.0277,106.52,"pop"
"Diddy","I Need a Girl (Pt. 1) [feat. Usher & Loon]",FALSE,2005,63,0.208,89.279,"hip hop, pop"
"Big Brovaz","Nu Flow",FALSE,2001,45,0.106,148.062,"pop"
"No Doubt","Hey Baby",FALSE,2001,24,0.125,93.63,"rock, pop"
"Ashanti","Baby",TRUE,2002,55,0.223,157.596,"hip hop, pop, R&B"
"Sophie Ellis-Bextor","Murder On The Dancefloor",FALSE,2002,62,0.0309,117.31,"pop, Dance/Electronic"
"Justin Timberlake","Like I Love You",FALSE,2002,62,0.0646,114.964,"pop"
"Mary J. Blige","Rainy Dayz",FALSE,2001,32,0.229,68.942,"pop, R&B"
"A1","Caught in the Middle",FALSE,2001,53,0.034,96.072,"pop"
"Eminem","Cleanin' Out My Closet",TRUE,2002,71,0.174,148.015,"hip hop"
"Ashanti","Happy",TRUE,2002,61,0.0289,89.488,"hip hop, pop, R&B"
"Delta Goodrem","Born to Try",FALSE,2003,54,0.0284,133.838,"pop"
"P!nk","Get the Party Started",FALSE,2001,68,0.046,128.93,"pop"
"Alicia Keys","A Woman's Worth",FALSE,2001,52,0.158,75.09,"pop, R&B"
"Daniel Bedingfield","Gotta Get Thru This - D'N'D Radio Edit",FALSE,2002,56,0.0586,133.592,"pop"
"Coldplay","Clocks",FALSE,2002,79,0.0279,130.97,"rock, pop"
"Missy Elliott","Work It",TRUE,2002,70,0.283,101.868,"hip hop, pop, R&B"
"Ronan Keating","If Tomorrow Never Comes",FALSE,2002,60,0.028,79.01,"pop, rock"
"Big Tymers","Still Fly",TRUE,2002,64,0.162,177.928,"hip hop, pop"
"Creed","My Sacrifice",FALSE,2001,69,0.0504,146.349,"pop, rock, metal"
"Ja Rule","Always On Time",TRUE,2001,73,0.199,96.673,"hip hop, pop, R&B"
"Ashanti","Foolish",TRUE,2002,70,0.0532,90.119,"hip hop, pop, R&B"
"Avril Lavigne","Sk8er Boi",FALSE,2002,75,0.0482,149.937,"pop"
"DJ Sammy","Heaven",FALSE,2002,63,0.0548,137.965,"pop"
"Britney Spears","I'm Not a Girl, Not Yet a Woman",FALSE,2001,58,0.0245,78.996,"pop"
"Cam’ron","Oh Boy",TRUE,2002,67,0.145,83.014,"hip hop, pop"
"Red Hot Chili Peppers","By the Way",FALSE,2002,73,0.107,122.444,"rock"
"Elvis Presley","A Little Less Conversation - JXL Radio Edit Remix",FALSE,2002,60,0.0502,114.999,"rock, easy listening"
"Atomic Kitten","The Tide Is High - Radio Mix",FALSE,2002,65,0.0322,103.997,"pop"
"*NSYNC","Girlfriend",FALSE,2001,50,0.0884,93.967,"pop"
"Robbie Williams","Somethin' Stupid",FALSE,2001,64,0.0261,106.191,"pop, rock"
"Alanis Morissette","Hands Clean",FALSE,2002,57,0.0299,99.952,"pop, Folk/Acoustic"
"Usher","U Don't Have to Call",TRUE,2001,59,0.0459,100.005,"hip hop, pop, R&B"
"Creed","One Last Breath - Radio Version",FALSE,2015,47,0.0365,130.581,"pop, rock, metal"
"The Goo Goo Dolls","Here Is Gone",FALSE,2002,56,0.0322,102.192,"pop, rock"
"Puddle Of Mudd","She Hates Me",TRUE,2001,70,0.0323,109.781,"rock, metal"
"Ludacris","Rollout (My Business)",TRUE,2001,60,0.235,131.059,"hip hop, pop"
"Blazin' Squad","Crossroads - Radio Edit",FALSE,2012,40,0.042,144.188,"set()"
"Default","Wasting My Time",FALSE,2001,40,0.0312,147.973,"rock, pop, metal"
"Michelle Branch","All You Wanted",FALSE,2001,60,0.0286,96.103,"pop, Folk/Acoustic"
"Daniel Bedingfield","If You're Not The One",FALSE,2002,58,0.0292,119.998,"pop"
"Enrique Iglesias","Escape",FALSE,2001,56,0.0297,125.972,"pop, latin"
"Puddle Of Mudd","Blurry",FALSE,2001,64,0.0562,157.469,"rock, metal"
"Coldplay","In My Place",FALSE,2002,72,0.0278,144.636,"rock, pop"
"Outkast","The Whole World (feat. Killer Mike)",TRUE,2001,51,0.401,184.682,"hip hop, pop"
"P!nk","Don't Let Me Get Me - Radio Edit",FALSE,2001,60,0.0756,98.525,"pop"
"50 Cent","In Da Club",TRUE,2003,81,0.366,90.051,"hip hop, pop"
"Sean Paul","Get Busy",FALSE,2002,74,0.036,100.202,"hip hop, pop"
"Eminem","Lose Yourself - From ""8 Mile"" Soundtrack",TRUE,2004,77,0.264,171.355,"hip hop"
"Beyoncé","Crazy In Love (feat. Jay-Z)",FALSE,2003,76,0.226,99.165,"pop, R&B"
"Counting Crows","Big Yellow Taxi",FALSE,2003,50,0.0494,88.029,"rock, pop"
"Black Eyed Peas","Where Is The Love?",FALSE,2003,68,0.184,94.059,"hip hop, pop"
