artist,song,explicit,year,popularity,speechiness,tempo
Carl Thomas,I Wish,FALSE,2000,52,0.0337,89.824
Mystikal,Shake Ya Ass,TRUE,2000,57,0.32,98.054
Fuel,Hemorrhage (In My Hands),FALSE,2000,49,0.0404,152.034
Donell Jones,Where I Wanna Be,FALSE,1999,57,0.0298,102.053
Savage Garden,Crash and Burn,FALSE,1999,54,0.028,102.03
Westlife,My Love,FALSE,2000,68,0.0255,144.142
All Saints,Pure Shores,FALSE,2000,62,0.0242,100.618
Destiny's Child,"Independent Women, Pt. 1",FALSE,2001,65,0.206,97.954
*NSYNC,It's Gonna Be Me,FALSE,2000,60,0.0801,165.09
Erykah Badu,Bag Lady,FALSE,2000,54,0.0841,151.181
Marc Anthony,You Sang To Me,FALSE,1999,56,0.0296,165.98
Matchbox Twenty,Bent,FALSE,2000,54,0.0386,95.468
Gabrielle,Rise,FALSE,2001,60,0.026,144.673
Backstreet Boys,Shape of My Heart,FALSE,2000,70,0.0296,96.102
Creed,With Arms Wide Open,FALSE,1999,64,0.0302,138.852
The Corrs,Breathless,FALSE,2000,68,0.0597,126.988
Joe,I Wanna Know,FALSE,2000,65,0.0368,136.086
Wheatus,Teenage Dirtbag,TRUE,1999,71,0.0495,94.661
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,FALSE,1999,64,0.106,118.903
Creed,Higher,FALSE,1999,69,0.0364,155.827
Britney Spears,Lucky,FALSE,2000,65,0.0317,95.026
Nelly,Country Grammar (Hot Shit),TRUE,2000,68,0.108,162.831
Shaggy,It Wasn't Me,FALSE,2000,76,0.0713,94.759
Destiny's Child,Survivor,FALSE,2001,70,0.41,161.109
Eminem,Stan,TRUE,2000,83,0.238,80.063
Kylie Minogue,Can't Get You out of My Head,FALSE,2001,73,0.0339,126.007
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",FALSE,2001,68,0.0534,109.919
Nelly Furtado,I'm Like A Bird,FALSE,2000,1,0.036,89.661
Shakira,"Whenever, Wherever",FALSE,2001,74,0.0407,107.657
Jimmy Eat World,The Middle,FALSE,2001,78,0.0526,162.152
Train,Drops of Jupiter (Tell Me),FALSE,2001,77,0.0276,79.064
Geri Halliwell,It's Raining Men,FALSE,2001,62,0.0447,136.482
Blu Cantrell,Hit 'Em Up Style (Oops!),FALSE,2001,71,0.0586,89.976
Britney Spears,I'm a Slave 4 U,FALSE,2001,69,0.106,110.027
Kylie Minogue,In Your Eyes,FALSE,2001,62,0.0672,123.971
Missy Elliott,One Minute Man (feat. Ludacris),TRUE,2001,57,0.329,93.839
Mary J. Blige,Family Affair,FALSE,2001,76,0.0449,92.887
Faithless,We Come 1 - Radio Edit,FALSE,2015,53,0.0441,135.977
