artist,song,explicit,year,popularity,speechiness,tempo
Fabolous,Into You (feat. Tamia),TRUE,2003,67,0.0523,182.12
Switchfoot,Meant to Live,FALSE,2003,61,0.0457,151.551
Good Charlotte,Lifestyles of the Rich & Famous,FALSE,2002,68,0.0374,106.22
Wayne Wonder,No Letting Go,FALSE,2003,63,0.0444,100.215
The Strokes,Reptilia,FALSE,2003,74,0.0336,158.009
Avril Lavigne,I'm with You,FALSE,2002,70,0.0291,151.95
Will Young,Leave Right Now,FALSE,2003,55,0.0368,81.931
Usher,Yeah! (feat. Lil Jon & Ludacris),FALSE,2004,81,0.112,105.018
Maroon 5,This Love,FALSE,2002,77,0.0378,95.051
Britney Spears,Toxic,FALSE,2003,81,0.114,143.04
Outkast,Hey Ya!,FALSE,2003,80,0.0664,79.526
Hoobastank,The Reason,FALSE,2003,79,0.029,82.952
Anastacia,Left Outside Alone,FALSE,2004,65,0.0321,102.847
Daddy Yankee,Gasolina,FALSE,2004,11,0.0618,96.009
Black Eyed Peas,Let's Get It Started - Spike Mix,FALSE,2004,53,0.126,104.923
O-Zone,Dragostea Din Tei,FALSE,2004,56,0.0427,130.103
Terror Squad,Lean Back,TRUE,2004,67,0.415,95.321
Anastacia,Sick and Tired,FALSE,1999,56,0.0373,99.848
Gwen Stefani,What You Waiting For?,FALSE,2004,60,0.0628,136.027
Ashanti,Only U - No Intro,FALSE,2004,56,0.0434,94.547
The Rasmus,In the Shadows,FALSE,2003,68,0.0275,105.991
Houston,I Like That,FALSE,2004,59,0.0968,106.997
Beyoncé,Naughty Girl,FALSE,2003,63,0.0857,99.973
Linkin Park,Numb,FALSE,2003,81,0.0381,110.018
Lloyd Banks,On Fire,TRUE,2004,61,0.22,94.857
Akon,Locked Up,TRUE,2004,16,0.101,89.987
D12,My Band,TRUE,2004,73,0.0828,120.014
Jay Sean,Eyes On You - Radio Mix,FALSE,2004,42,0.0847,96.525
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,FALSE,2016,66,0.0462,97.007
Destiny's Child,Lose My Breath,FALSE,2004,61,0.0637,119.011
Eric Prydz,Call on Me - Radio Mix,FALSE,2004,72,0.375,126.342
Ciara,Goodies (feat. Petey Pablo),FALSE,2004,67,0.0491,102.017
Kelis,Trick Me,TRUE,2003,63,0.149,107.17
LL Cool J,Headsprung,FALSE,2004,56,0.0284,99.916
Spiderbait,Black Betty - Edit,FALSE,2004,63,0.0922,124.047
George Michael,Amazing,FALSE,2004,57,0.0394,128.429
Britney Spears,My Prerogative,FALSE,2004,53,0.118,111.014
Nina Sky,Move Ya Body,FALSE,2004,67,0.0432,121.057
Petey Pablo,Freek-A-Leek,TRUE,2003,56,0.254,104.917
JAY-Z,Dirt Off Your Shoulder,TRUE,2003,53,0.318,163.971
Juanes,La Camisa Negra,FALSE,2004,70,0.0308,97.007
Avril Lavigne,Nobody's Home,FALSE,2004,61,0.0497,185.406
Robbie Williams,Radio,FALSE,2004,33,0.0349,130.015
Black Eyed Peas,Hey Mama,TRUE,2003,49,0.232,100.15
Ying Yang Twins,Salt Shaker,TRUE,2003,61,0.128,101.965
Enrique Iglesias,Not In Love - Radio Mix,FALSE,2003,37,0.0395,117.021
Kelis,Milkshake,FALSE,2003,68,0.0439,112.968
Linkin Park,Breaking the Habit,FALSE,2003,68,0.0303,100.021
JoJo,Leave (Get Out) - Radio Edit,FALSE,2005,49,0.253,86.891
Christina Milian,Dip It Low,FALSE,2004,45,0.104,169.131
Avant,Read Your Mind,FALSE,2003,56,0.0711,73.108
Eminem,Just Lose It,TRUE,2004,67,0.0467,121.003
Snoop Dogg,Drop It Like It's Hot,TRUE,2004,39,0.216,92.063
Sean Paul,I'm Still in Love with You (feat. Sasha),FALSE,2002,68,0.172,87.002
The Shapeshifters,Lola's Theme - Radio Edit,FALSE,2004,65,0.0536,123.925
D12,How Come,TRUE,2004,57,0.237,89.983
Basement Jaxx,Good Luck,FALSE,2003,0,0.162,154.07
Kevin Lyttle,Turn Me On,FALSE,2004,67,0.0361,106.279
Chingy,One Call Away,FALSE,2003,61,0.183,162.519
T.I.,Bring Em Out,TRUE,2004,63,0.257,98.579
DJ Casper,Cha Cha Slide - Hardino Mix,FALSE,2004,51,0.125,131.012
Kylie Minogue,I Believe in You,FALSE,2004,47,0.0704,120.939
Twista,Overnight Celebrity,TRUE,2004,66,0.179,134.199
N.E.R.D,She Wants To Move,FALSE,2004,57,0.0786,115.012
Britney Spears,Everytime,FALSE,2003,63,0.0337,109.599
U2,Vertigo,FALSE,2004,64,0.0613,140.083
Franz Ferdinand,Take Me Out,FALSE,2004,77,0.0377,104.561
J-Kwon,Tipsy - Club Mix,TRUE,2001,59,0.315,93.04
G-Unit,Wanna Get To Know You,TRUE,2003,61,0.132,76.91
Lil' Flip,Sunshine (feat. Lea),TRUE,2004,42,0.0946,93.961
Kanye West,Jesus Walks,TRUE,2004,73,0.323,87.312
Evanescence,My Immortal,FALSE,2003,72,0.0356,79.012
Nelly,My Place,TRUE,2004,57,0.0423,163.153
Lemar,If There's Any Justice,FALSE,2004,46,0.0453,89.993
Avril Lavigne,Don't Tell Me,FALSE,2004,58,0.0386,144.106
Twista,Slow Jamz,TRUE,2004,72,0.171,145.115
Green Day,American Idiot,TRUE,2004,77,0.0639,186.113
Kelis,Millionaire,FALSE,2003,57,0.108,176.051
Scissor Sisters,Comfortably Numb,FALSE,2004,43,0.0391,116.972
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),FALSE,2003,55,0.0317,127.932
Kanye West,Through The Wire,TRUE,2004,76,0.247,83.089
Special D.,Come With Me - Radio Edit,FALSE,2004,61,0.0803,139.982
Ludacris,Splash Waterfalls,TRUE,2003,48,0.409,145.894
Avril Lavigne,My Happy Ending,TRUE,2004,68,0.0758,170.229
Eamon,Fuck It (I Don't Want You Back),TRUE,2004,64,0.0653,68.507
Beyoncé,"Me, Myself and I",FALSE,2003,62,0.0803,83.61
3 Doors Down,Here Without You,FALSE,2002,74,0.0252,143.994
Kanye West,All Falls Down,TRUE,2004,80,0.484,91.03
Twista,Sunshine (feat. Anthony Hamilton),TRUE,2004,56,0.294,98.523
Katie Melua,The Closest Thing to Crazy,FALSE,2003,55,0.0312,127.831
Usher,My Boo,FALSE,2004,76,0.118,86.412
Lloyd,Southside,FALSE,2004,59,0.0818,75.007
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,FALSE,2004,59,0.038,128.658
The Streets,Fit but You Know It,TRUE,2004,58,0.299,172.302
JUVENILE,Slow Motion,TRUE,2003,64,0.325,172.872
Girls Aloud,Love Machine,FALSE,2004,59,0.0621,116.02
Jessica Simpson,With You,FALSE,2003,57,0.108,94.487
Eminem,Like Toy Soldiers,TRUE,2004,48,0.359,79.178
Gary Jules,Mad World (Feat. Michael Andrews),FALSE,2001,65,0.0374,174.117
Ashlee Simpson,Pieces Of Me,FALSE,2004,56,0.0773,174.001
Alicia Keys,You Don't Know My Name,FALSE,2003,61,0.187,167.078
Mariah Carey,We Belong Together,FALSE,2005,69,0.0629,139.987
Mario,Let Me Love You,FALSE,2004,72,0.0922,94.514
Kanye West,Gold Digger,TRUE,2005,78,0.348,93.034
Rihanna,Pon de Replay,FALSE,2005,77,0.159,99.019
50 Cent,Candy Shop,TRUE,2005,79,0.466,125.173
James Blunt,You're Beautiful,TRUE,2005,75,0.0278,81.998
Green Day,Boulevard of Broken Dreams,TRUE,2004,72,0.0309,167.046
The Pussycat Dolls,Don't Cha,FALSE,2005,72,0.099,120.003
Daniel Powter,Bad Day,FALSE,2005,74,0.0309,140.046
Akon,Bananza (Belly Dancer),FALSE,2004,28,0.132,104.838
Madonna,Hung Up,FALSE,2005,74,0.0452,125.02
50 Cent,Just A Lil Bit,TRUE,2005,76,0.41,96.946
Crazy Frog,Axel F,FALSE,2005,67,0.0407,138.045
Eminem,Ass Like That,TRUE,2004,52,0.366,83.093
Sean Paul,We Be Burnin',FALSE,2005,59,0.151,117
Gwen Stefani,Rich Girl,FALSE,2004,68,0.0416,98.018
The Chemical Brothers,Galvanize,FALSE,2005,63,0.0751,104.003
Fort Minor,Remember the Name (feat. Styles of Beyond),TRUE,2005,73,0.0911,84.858
50 Cent,Disco Inferno,TRUE,2005,72,0.231,97.018
The Game,How We Do,TRUE,2005,74,0.251,98.012
Chris Brown,Run It! (feat. Juelz Santana),FALSE,2005,71,0.129,100.969
Mariah Carey,It's Like That,FALSE,2005,0,0.0514,95.953
Black Eyed Peas,My Humps,FALSE,2005,67,0.222,123.95
Ciara,Oh (feat. Ludacris),FALSE,2004,61,0.0506,128.29
50 Cent,Outta Control - Remix,TRUE,2005,60,0.246,92.029
Baby Bash,"Baby, I'm Back",TRUE,2005,4,0.105,100.01
Jennifer Lopez,Get Right,FALSE,2005,65,0.12,97.084
JAY-Z,Numb / Encore,TRUE,2004,76,0.166,107.045
The Game,Hate It Or Love It,TRUE,2005,77,0.207,99.998
Gorillaz,Feel Good Inc.,FALSE,2005,82,0.177,138.559
Black Eyed Peas,Don't Phunk With My Heart,FALSE,2005,62,0.061,130.889
Akon,Lonely,TRUE,2004,21,0.0352,90.098
Bodyrockers,I Like The Way - Radio Edit,FALSE,2005,54,0.0431,127.988
Sugababes,Push The Button,FALSE,2005,64,0.061,126.016
Jeezy,Soul Survivor,TRUE,2005,55,0.0459,84.03
Eminem,Mockingbird,TRUE,2004,77,0.266,84.039
Shakira,La Tortura (feat. Alejandro Sanz),FALSE,2005,72,0.0427,100.011
Gorillaz,DARE,FALSE,2005,73,0.0372,120.264
Snoop Dogg,Signs,TRUE,2004,54,0.127,112.955
Robbie Williams,Tripping,FALSE,2005,58,0.0429,118.014
David Banner,Play,TRUE,2005,52,0.126,95.027
Trillville,Some Cut,TRUE,2004,50,0.372,84.995
D4L,Laffy Taffy,TRUE,2005,63,0.428,77.499
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),TRUE,2005,67,0.121,125.461
Rob Thomas,Lonely No More,FALSE,2005,56,0.109,171.79
Brian McFadden,Almost Here,FALSE,2004,42,0.0336,77.984
Bobby V.,"Slow Down - 12"" Version",FALSE,2005,65,0.103,186.048
Backstreet Boys,Incomplete,FALSE,2005,63,0.0331,133.631
Pretty Ricky,Grind With Me,TRUE,2005,63,0.045,136.518
Kanye West,Diamonds From Sierra Leone - Remix,TRUE,2005,61,0.27,97.043
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,FALSE,2005,41,0.372,100.813
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),FALSE,2004,63,0.361,77.49
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",FALSE,2005,52,0.161,113.053
Amerie,1 Thing,FALSE,2008,52,0.332,125.085
Ludacris,Get Back,TRUE,2004,59,0.263,171.609
Franz Ferdinand,Do You Want To,FALSE,2005,61,0.0448,123.091
Natalie Imbruglia,Shiver,FALSE,2005,52,0.0316,94.163
Gwen Stefani,Hollaback Girl,TRUE,2004,69,0.0929,110.007
Pretty Ricky,Your Body,TRUE,2005,59,0.113,90.038
Thirty Seconds To Mars,The Kill,FALSE,2005,74,0.0791,182.99
Alicia Keys,Karma,FALSE,2003,50,0.0615,85.098
2Pac,Ghetto Gospel,TRUE,2004,68,0.0467,80.569
Craig David,Don't Love You No More (I'm Sorry),FALSE,2005,56,0.0245,100.113
Katie Melua,Nine Million Bicycles,FALSE,2005,60,0.0322,82.168
Lil Jon & The East Side Boyz,Lovers And Friends,TRUE,2004,66,0.22,139.861
Mariah Carey,Don't Forget About Us - Radio Edit,FALSE,2005,0,0.0395,143.555
Ying Yang Twins,Wait (The Whisper Song),TRUE,2005,57,0.347,102.017
Will Smith,Switch,FALSE,2020,34,0.18,102.516
Bow Wow,Like You (feat. Ciara),FALSE,2005,66,0.0876,82.017
Kaiser Chiefs,Everyday I Love You Less And Less,FALSE,2005,58,0.0407,160.028
Kelly Clarkson,Behind These Hazel Eyes,FALSE,2004,59,0.0382,90.048
Black Eyed Peas,Don't Lie,FALSE,2005,61,0.186,89.885
Westlife,You Raise Me Up,FALSE,2005,1,0.0314,75.048
Ray J,One Wish,FALSE,2005,62,0.28,127.673
Papa Roach,Scars,FALSE,2004,60,0.0494,89.782
Arctic Monkeys,I Bet You Look Good On The Dancefloor,FALSE,2006,71,0.0356,103.183
Shayne Ward,That's My Goal,FALSE,2006,1,0.0336,68.637
Bow Wow,Let Me Hold You (feat. Omarion),FALSE,2005,62,0.199,151.518
Kaiser Chiefs,I Predict A Riot,FALSE,2005,63,0.0766,158.842
Usher,Caught Up,FALSE,2004,61,0.0623,110.086
Kelly Clarkson,Because of You,FALSE,2004,71,0.0313,139.92
3 Doors Down,Let Me Go,FALSE,2012,52,0.0387,92.004
Nickelback,Photograph,FALSE,2005,67,0.0292,145.916
T-Pain,I'm Sprung,FALSE,2005,0,0.108,99.991
Destiny's Child,Cater 2 U,FALSE,2004,58,0.197,125.802
The Pussycat Dolls,Stickwitu,FALSE,2005,67,0.0587,79.918
Ryan Cabrera,TRUE,FALSE,2004,62,0.0241,96.938
Stereophonics,Dakota,FALSE,2005,69,0.0675,146.994
Eminem,Like Toy Soldiers,TRUE,2004,67,0.359,79.178
Nelly,Over And Over,TRUE,2004,61,0.0803,169.799
Coldplay,Speed of Sound,FALSE,2005,69,0.0577,123.067
KT Tunstall,Suddenly I See,FALSE,2005,71,0.0449,100.38
Destiny's Child,Girl,FALSE,2004,55,0.105,89.036
Kelly Clarkson,Since U Been Gone,FALSE,2004,71,0.0322,130.999
U2,Sometimes You Can't Make It On Your Own,FALSE,2004,56,0.0247,96
The All-American Rejects,Dirty Little Secret,FALSE,2005,65,0.0432,143.853
Toby Keith,As Good As I Once Was,FALSE,2005,67,0.0393,119.075
Gwen Stefani,Cool,FALSE,2004,59,0.0281,112.019
Foo Fighters,Best of You,FALSE,2005,76,0.0696,130.198
Shakira,Hips Don't Lie (feat. Wyclef Jean),FALSE,2005,82,0.0707,100.024
Sean Paul,Temperature,FALSE,2005,78,0.0685,125.04
Justin Timberlake,SexyBack (feat. Timbaland),TRUE,2006,78,0.0789,117
Beyoncé,Irreplaceable,FALSE,2007,70,0.382,175.868
Amy Winehouse,Rehab,FALSE,2006,71,0.0552,71.815
Rihanna,SOS,FALSE,2006,73,0.0361,137.046
Gnarls Barkley,Crazy,FALSE,2006,74,0.0336,111.97
Busta Rhymes,Touch It,TRUE,2006,61,0.37,138.335
Nelly Furtado,Maneater,FALSE,2006,79,0.0397,132.722
Bob Sinclar,Rock This Party - Everybody Dance Now,FALSE,2006,69,0.122,128.009
Diddy,Come to Me (feat. Nicole Scherzinger),TRUE,2006,55,0.0756,96.998
Madonna,Sorry,FALSE,2005,61,0.046,132.971
Chamillionaire,Ridin',TRUE,2005,71,0.0993,143.052
Black Eyed Peas,Pump It,FALSE,2005,75,0.181,153.649
Nelly Furtado,Promiscuous,FALSE,2006,82,0.0506,114.328
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,FALSE,2015,39,0.229,127.919
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,FALSE,2006,58,0.225,95.824
The Pussycat Dolls,Buttons,FALSE,2005,68,0.27,210.851
Ciara,Get Up (feat. Chamillionaire),FALSE,2006,59,0.109,128.593
Eminem,Shake That,TRUE,2005,74,0.117,107.005
Cherish,Do It To It,FALSE,2006,65,0.169,74.007
Muse,Supermassive Black Hole,FALSE,2006,75,0.0439,120
Chris Brown,Gimme That,FALSE,2005,63,0.0466,87.165
Infernal,From Paris to Berlin,FALSE,2004,57,0.0816,126.069
Cassie,Me & U,FALSE,2006,73,0.0294,99.99
E-40,U and Dat (feat. T. Pain & Kandi Girl),TRUE,2006,63,0.277,99.992
The Pussycat Dolls,Beep,FALSE,2005,57,0.0434,103.7
Lil Jon,Snap Yo Fingers,FALSE,2006,67,0.23,82.038
Armand Van Helden,My My My - Radio Edit,FALSE,2006,40,0.137,127.51
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",TRUE,2005,68,0.141,106.328
Yung Joc,It's Goin' Down (feat. Nitti),TRUE,2006,66,0.0612,84.003
Shayne Ward,No Promises,FALSE,2006,1,0.026,79.798
Justin Timberlake,My Love (feat. T.I.),FALSE,2006,72,0.224,119.952
Nickelback,Savin' Me,FALSE,2005,65,0.0276,164.007
Nelly,Grillz,FALSE,2005,60,0.241,82.996
Take That,Patience,FALSE,2006,64,0.0405,175.788
Fergie,London Bridge,TRUE,2006,57,0.357,90.951
Cascada,Everytime We Touch - Radio Edit,FALSE,2011,0,0.0555,142.019
LL Cool J,Control Myself,FALSE,2006,42,0.211,120.066
Beyoncé,Deja Vu (feat. Jay-Z),FALSE,2007,57,0.341,105.253
P!nk,Stupid Girls,TRUE,2006,0,0.071,100.04
Eminem,When I'm Gone,TRUE,2005,68,0.352,75.272
Kelis,Bossy,FALSE,2006,50,0.19,84.021
Bob Sinclar,Love Generation - Radio Edit,FALSE,2005,49,0.062,128.04
Meck,Thunder in My Heart Again (Radio Edit),FALSE,2005,46,0.0294,129.016
Mary J. Blige,Be Without You - Kendu Mix,TRUE,2005,69,0.0998,146.559
Girls Aloud,Something Kinda Ooooh,FALSE,2012,49,0.0473,131.925
Rihanna,Unfaithful,FALSE,2006,70,0.0334,144.069
Kanye West,Touch The Sky,TRUE,2005,73,0.342,98.56
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",TRUE,2006,60,0.307,76.035
Evanescence,Call Me When You're Sober,FALSE,2006,65,0.0524,93.41
Chingy,Pullin' Me Back,TRUE,2006,62,0.286,80
Nickelback,Far Away,FALSE,2005,70,0.0309,132.918
Fall Out Boy,"Dance, Dance",FALSE,2005,74,0.154,114.452
Leona Lewis,A Moment Like This,FALSE,2007,57,0.0301,70.543
T.I.,What You Know,TRUE,2006,64,0.0344,73.464
Ludacris,Money Maker,TRUE,2006,62,0.27,78.756
Nick Lachey,What's Left Of Me,FALSE,2006,37,0.0375,149.965
Jibbs,Chain Hang Low,TRUE,2006,56,0.262,157.147
Arctic Monkeys,When The Sun Goes Down,TRUE,2006,72,0.199,169.152
Rascal Flatts,Life is a Highway,FALSE,2006,0,0.0613,103.055
Beyoncé,Check On It (feat. Slim Thug),FALSE,2006,45,0.218,166.104
Keyshia Cole,Love,FALSE,2005,72,0.0283,116.714
Lily Allen,Smile,TRUE,2006,68,0.0259,95.506
Ne-Yo,Sexy Love,FALSE,2006,67,0.0413,94.02
JoJo,Too Little Too Late,FALSE,2006,48,0.0431,83.001
Mary J. Blige,One,FALSE,2005,64,0.0777,185.888
Bubba Sparxxx,Ms. New Booty,TRUE,2005,62,0.416,129.37
Amy Winehouse,You Know I'm No Good,FALSE,2006,63,0.0309,103.383
Rascal Flatts,What Hurts The Most,FALSE,2006,69,0.0277,136.002
Red Hot Chili Peppers,Dani California,FALSE,2006,76,0.0437,96.184
Scissor Sisters,I Don't Feel Like Dancin',FALSE,2006,63,0.0276,108.023
Ne-Yo,So Sick,FALSE,2006,75,0.31,92.791
Hinder,Lips Of An Angel,FALSE,2019,35,0.0341,129.005
The Raconteurs,"Steady, As She Goes",FALSE,2006,56,0.12,123.696
The Fratellis,Chelsea Dagger,FALSE,2006,68,0.144,154.514
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),TRUE,2005,42,0.238,179.999
Panic! At The Disco,I Write Sins Not Tragedies,FALSE,2005,70,0.14,169.961
James Blunt,Goodbye My Lover,FALSE,2005,67,0.0512,89.567
Christina Aguilera,Ain't No Other Man,FALSE,2006,63,0.222,127.91
Westlife,The Rose,FALSE,2006,0,0.0294,109.581
Keane,Is It Any Wonder?,FALSE,2006,59,0.0363,129.352
Orson,No Tomorrow,FALSE,2006,46,0.0691,124.082
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),TRUE,2005,0,0.0688,145.171
KT Tunstall,Black Horse And The Cherry Tree,FALSE,2005,64,0.0641,104.833
Natasha Bedingfield,Unwritten,FALSE,2004,2,0.0399,100.011
Razorlight,America,FALSE,2006,67,0.0305,90.933
James Morrison,You Give Me Something,FALSE,2006,64,0.114,79.753
Snow Patrol,You're All I Have,FALSE,2006,35,0.045,132.013
The Fray,How to Save a Life,FALSE,2005,79,0.0379,122.035
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),FALSE,2006,61,0.358,108.102
My Chemical Romance,Welcome to the Black Parade,FALSE,2006,76,0.0752,96.95
Razorlight,In The Morning,FALSE,2006,59,0.042,124.191
James Morrison,Wonderful World,FALSE,2006,49,0.029,78.969
Chris Brown,Yo (Excuse Me Miss),FALSE,2005,69,0.272,86.768
P!nk,Who Knew,FALSE,2006,0,0.0274,140.004
The Kooks,Naive,FALSE,2006,73,0.0892,100.304
Leona Lewis,Bleeding Love,FALSE,2007,75,0.0357,104.036
Rihanna,Umbrella,FALSE,2008,81,0.134,174.028
Britney Spears,Gimme More,FALSE,2007,79,0.0334,113.324
Fergie,Big Girls Don't Cry (Personal),FALSE,2006,76,0.0335,113.082
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,FALSE,2007,0,0.0544,105.828
Plain White T's,Hey There Delilah,FALSE,2005,78,0.0293,103.971
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),FALSE,2006,70,0.0709,76
Gwen Stefani,The Sweet Escape,FALSE,2006,71,0.0343,119.961
Timbaland,The Way I Are,FALSE,2007,80,0.1,114.759
Nelly Furtado,Say It Right,FALSE,2006,81,0.139,116.948
Ida Corr,Let Me Think About It,FALSE,2012,43,0.046,129.026
Alex Gaudino,Destination Calabria - Radio Edit,FALSE,2007,73,0.0425,128.016
September,Cry for You,FALSE,2007,65,0.0301,130.018
Akon,Smack That,TRUE,2006,58,0.0475,118.988
Timbaland,Give It To Me,TRUE,2007,70,0.0632,110.621
50 Cent,Ayo Technology,TRUE,2007,67,0.132,140.144
Eric Prydz,Proper Education - Radio Edit,FALSE,2007,0,0.0523,124.938
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,FALSE,2015,0,0.202,127.995
Ciara,Like a Boy,FALSE,2006,68,0.145,132.035
Kanye West,Stronger,TRUE,2007,54,0.153,103.992
Beyoncé,Beautiful Liar,FALSE,2007,64,0.0703,91.977
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,FALSE,2007,59,0.0781,79.702
Akon,I Wanna Love You,TRUE,2006,53,0.0417,99.989
Soulja Boy,Crank That (Soulja Boy),FALSE,2007,74,0.0786,140.141
Fat Joe,Make It Rain,TRUE,2006,59,0.197,149.28
P!nk,U + Ur Hand,TRUE,2006,0,0.0528,141.04
Rihanna,Shut Up And Drive,FALSE,2008,69,0.0349,132.964
Lloyd,Get It Shawty,FALSE,2007,62,0.241,128.014
Kanye West,Can't Tell Me Nothing,TRUE,2007,47,0.039,80.029
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,FALSE,2006,17,0.0603,127.894
Linkin Park,What I've Done,FALSE,2007,77,0.0324,120.119
Keyshia Cole,Last Night,FALSE,2007,60,0.0623,121.006
Chris Brown,Kiss Kiss (feat. T-Pain),FALSE,2007,68,0.225,140.043
Shop Boyz,Party Like A Rock Star,TRUE,2007,61,0.0395,144.972
Finger Eleven,Paralyzer,FALSE,2007,73,0.0456,106.031
Justin Timberlake,Summer Love,FALSE,2006,66,0.087,95.802
MiMS,This Is Why I'm Hot,TRUE,2007,59,0.576,80.021
Fabolous,Make Me Better,TRUE,2007,62,0.0995,86.491
Seether,Fake It,TRUE,2007,73,0.0518,132.078
Arctic Monkeys,Brianstorm,FALSE,2007,67,0.191,165.182
Fergie,Glamorous,TRUE,2006,64,0.23,130.993
Linkin Park,Bleed It Out,TRUE,2007,73,0.0508,140.127
My Chemical Romance,Teenagers,FALSE,2006,80,0.0632,111.647
Calvin Harris,Acceptable in the 80's,FALSE,2007,57,0.0511,127.99
Sugababes,About You Now,FALSE,2007,66,0.0378,82.499
Avril Lavigne,Girlfriend,TRUE,2007,75,0.102,163.983
Ne-Yo,Because Of You,FALSE,2007,74,0.0356,109.97
Daughtry,It's Not Over,FALSE,2016,45,0.0538,145.959
Unk,Walk It Out,TRUE,2013,48,0.0813,160.022
Lloyd,You,FALSE,2007,70,0.47,130.159
Klaxons,Golden Skans,FALSE,2007,65,0.0381,141.955
T-Pain,Bartender (feat. Akon),TRUE,2007,3,0.133,104.987
Baby Boy Da Prince,The Way I Live - Main Explicit,TRUE,2006,59,0.248,90.02
Fergie,Fergalicious,TRUE,2006,63,0.316,129.055
Omarion,Ice Box,FALSE,2006,57,0.134,131.105
Pretty Ricky,On the Hotline - Amended Version,FALSE,2007,57,0.183,92.988
Nickelback,Rockstar,FALSE,2005,69,0.0386,144.072
Fall Out Boy,Thnks fr th Mmrs,FALSE,2007,76,0.0623,154.837
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),TRUE,2006,57,0.0549,121.243
All Time Low,"Dear Maria, Count Me In",FALSE,2007,76,0.0805,181.04
Amy Winehouse,Back To Black,TRUE,2006,76,0.0373,122.728
Keyshia Cole,Let It Go,FALSE,2007,58,0.213,94.955
Ciara,Promise,FALSE,2006,56,0.0425,123.279
Enrique Iglesias,Do You Know? (The Ping Pong Song),FALSE,2007,45,0.0487,114.999
T2,Heartbroken - Edit,FALSE,2017,59,0.0329,139.986
Robyn,With Every Heartbeat,FALSE,2005,36,0.0395,120.872
Maroon 5,Makes Me Wonder,TRUE,2007,62,0.0357,113.996
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",FALSE,2007,68,0.0636,199.935
Paramore,Misery Business,FALSE,2007,72,0.0735,172.977
Hinder,Better Than Me,FALSE,2019,30,0.029,139.913
Huey,"Pop, Lock & Drop It - Video Edit",FALSE,2006,52,0.222,144.09
Foo Fighters,The Pretender,FALSE,2007,78,0.0431,172.984
Plies,Shawty (feat. T Pain),TRUE,2007,61,0.126,105.412
Kaiser Chiefs,Ruby,FALSE,2007,67,0.0512,93.416
Mark Ronson,Stop Me (feat. Daniel Merriweather),FALSE,2007,46,0.0403,118.035
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),FALSE,2006,57,0.183,83.998
Jim Jones,We Fly High,TRUE,2006,0,0.298,120.226
The Red Jumpsuit Apparatus,Face Down,FALSE,2006,74,0.0399,92.956
MIKA,Grace Kelly,FALSE,2006,69,0.0454,122.229
Christina Aguilera,Candyman,FALSE,2006,66,0.23,172.976
Sean Kingston,Beautiful Girls,FALSE,2007,78,0.0687,130.009
Akon,Don't Matter,TRUE,2006,52,0.0371,125.139
James Blunt,1973,FALSE,2007,68,0.0269,123.007
Carrie Underwood,Before He Cheats,FALSE,2005,76,0.0405,147.905
Just Jack,Starz In Their Eyes,FALSE,2006,52,0.0652,123.802
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),FALSE,2007,2,0.262,80.001
Bone Thugs-N-Harmony,I Tried,TRUE,2007,61,0.0742,81.995
Avril Lavigne,When You're Gone,FALSE,2007,68,0.0323,142.034
Rich Boy,Throw Some D's,TRUE,2007,57,0.43,160.895
MIKA,Love Today,FALSE,2006,57,0.0664,124.484
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),FALSE,2007,53,0.0459,126.766
Elliott Yamin,Wait for You,FALSE,2007,58,0.0281,116.027
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",FALSE,2007,56,0.0553,92.515
Boys Like Girls,The Great Escape,FALSE,2007,62,0.0635,149.934
Take That,Rule The World - Radio Edit,FALSE,2007,58,0.034,164.054
J. Holiday,Bed,FALSE,2007,64,0.0504,127.901
