artist,song,explicit,year,popularity,speechiness,tempo,loudness,acousticness,valence
Maroon 5,Maps,FALSE,2014,0,0.0295,120.003,-2.986,0.0227,0.486
Metro Station,Shake It,FALSE,2007,67,0.0798,150.034,-2.99,0.171,0.512
Taio Cruz,Break Your Heart,FALSE,2010,74,0.0314,122.01,-2.996,0.217,0.294
The Red Jumpsuit Apparatus,Face Down,FALSE,2006,74,0.0399,92.956,-3.004,0.0459,0.693
Little Mix,Shout Out to My Ex,FALSE,2017,1,0.0889,126.014,-3.004,0.00609,0.715
The Roots,The Seed (2.0),TRUE,2002,63,0.0357,111.121,-3.006,0.408,0.849
Atomic Kitten,Whole Again,FALSE,2001,66,0.0413,94.019,-3.011,0.0174,0.73
Of Monsters and Men,Little Talks,FALSE,2012,79,0.032,102.961,-3.015,0.19,0.428
Big Sean,Bounce Back,TRUE,2017,71,0.139,81.502,-3.023,0.03,0.839
Craig David,Rise & Fall (feat. Sting),FALSE,2002,59,0.0586,83.373,-3.024,0.0521,0.848
Tyga,Rack City,TRUE,2012,61,0.371,98.986,-3.035,0.0124,0.648
Christina Milian,AM To PM,FALSE,2001,60,0.12,105.005,-3.036,0.153,0.822
Justin Timberlake,My Love (feat. T.I.),FALSE,2006,72,0.224,119.952,-3.04,0.067,0.718
The White Stripes,Seven Nation Army,FALSE,2003,3,0.0805,123.904,-3.041,0.688,0.535
Linkin Park,Breaking the Habit,FALSE,2003,68,0.0303,100.021,-3.041,0.688,0.535
Lil Wayne,Lollipop,TRUE,2008,69,0.0831,148.075,-3.049,0.00143,0.396
ZAYN,PILLOWTALK,TRUE,2016,59,0.0496,124.909,-3.054,0.174,0.304
Beyoncé,Sorry,TRUE,2016,67,0.0535,129.988,-3.06,0.093,0.536
BlocBoy JB,Look Alive (feat. Drake),TRUE,2018,73,0.27,140.022,-3.061,0.171,0.437
Enrique Iglesias,Do You Know? (The Ping Pong Song),FALSE,2007,45,0.0487,114.999,-3.063,0.0506,0.856
Jagged Edge,Promise,FALSE,2000,56,0.0872,128.002,-3.07,0.37,0.96
Liberty X,Just A Little,FALSE,2019,43,0.0574,103.887,-3.073,0.107,0.436
Mary J. Blige,Just Fine,FALSE,2007,64,0.117,123.021,-3.078,0.000334,0.462
Nicole Scherzinger,Don't Hold Your Breath,FALSE,2011,62,0.0262,110.955,-3.078,0.055,0.552
Lorde,Homemade Dynamite - REMIX,TRUE,2017,8,0.0764,106.996,-3.078,0.127,0.445
Tiësto,Jackie Chan,TRUE,2018,72,0.045,128.005,-3.079,0.158,0.651
Janet Jackson,Doesn't Really Matter,FALSE,2001,47,0.076,99.316,-3.081,0.0993,0.801
The Strumbellas,Spirits,FALSE,2016,71,0.0265,80.529,-3.081,0.00346,0.274
ScHoolboy Q,Man Of The Year,TRUE,2014,0,0.0428,111.959,-3.084,0.015,0.716
B2K,"Bump, Bump, Bump (feat. P. Diddy)",FALSE,2003,62,0.21,95.508,-3.09,0.0135,0.673
J-Kwon,Tipsy - Club Mix,TRUE,2001,59,0.315,93.04,-3.092,0.0649,0.313
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,FALSE,2019,79,0.0575,89.96,-3.093,0.256,0.286
6ix9ine,FEFE,TRUE,2018,42,0.412,125.978,-3.094,0.0329,0.632
Room 5,Make Luv,FALSE,2003,57,0.116,124.814,-3.103,0.343,0.509
Future,Low Life (feat. The Weeknd),TRUE,2016,74,0.0726,143.961,-3.103,0.00419,0.537
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester),FALSE,2009,65,0.0815,119.964,-3.104,0.000969,0.489
Becky G,Sin Pijama,FALSE,2018,69,0.0464,94.014,-3.105,0.0642,0.872
Kelly Rowland,Commander,FALSE,2011,59,0.138,124.638,-3.108,0.0012,0.59
Fifth Harmony,Worth It (feat. Kid Ink),FALSE,2015,73,0.0882,99.987,-3.109,0.109,0.461
Ariana Grande,7 rings,TRUE,2019,83,0.334,140.048,-3.112,0.165,0.794
Britney Spears,Work B**ch,TRUE,2013,0,0.15,128.012,-3.113,0.00107,0.721
Miley Cyrus,We Can't Stop,FALSE,2013,78,0.0334,80.003,-3.121,0.025,0.409
Tinchy Stryder,Number 1,FALSE,2009,59,0.0377,114.912,-3.124,0.00645,0.716
Sean Kingston,Beautiful Girls,FALSE,2007,78,0.0687,130.009,-3.126,0.00725,0.572
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,FALSE,2007,59,0.0781,79.702,-3.131,0.25,0.382
Michael Jackson,You Rock My World,FALSE,2001,64,0.185,95,-3.132,0.038,0.955
Razorlight,In The Morning,FALSE,2006,59,0.042,124.191,-3.14,0.0491,0.586
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),FALSE,2013,71,0.064,151.99,-3.141,0.000673,0.538
Lana Del Rey,Ride,TRUE,2012,66,0.034,93.763,-3.145,0.112,0.438
Chip,Champion (feat. Chris Brown),TRUE,2011,48,0.24,190.151,-3.148,0.000915,0.701
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",TRUE,2005,68,0.141,106.328,-3.15,0.00937,0.744
Thirty Seconds To Mars,The Kill,FALSE,2005,74,0.0791,182.99,-3.152,0.033,0.858
Chris Brown,Forever,FALSE,2008,74,0.0459,120.005,-3.152,0.0451,0.959
James Morrison,Broken Strings,FALSE,2008,70,0.029,111.91,-3.159,0.00428,0.601
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),TRUE,2005,0,0.0688,145.171,-3.161,0.0841,0.269
INNA,Hot - Play & Win Radio Version,FALSE,2010,42,0.28,128,-3.17,0.00177,0.412
Eric Prydz,Pjanoo - Radio Edit,FALSE,2008,65,0.0295,125.99,-3.173,0.00223,0.696
Taylor Swift,Back To December,FALSE,2010,65,0.0303,141.893,-3.173,0.0843,0.519
Panjabi MC,Mundian to Bach Ke,FALSE,2003,61,0.0371,98.077,-3.18,0.101,0.828
Martin Garrix,Scared to Be Lonely,FALSE,2017,77,0.0576,137.972,-3.183,0.581,0.931
Baby Bash,Suga Suga,FALSE,2003,73,0.268,82.331,-3.188,0.00721,0.296
DJ Ötzi,Hey Baby (Radio Mix),FALSE,2010,58,0.046,135.099,-3.196,0.123,0.834
Red Hot Chili Peppers,Dani California,FALSE,2006,76,0.0437,96.184,-3.198,0.00523,0.449
Hot Chelle Rae,Tonight Tonight,FALSE,2011,73,0.119,99.978,-3.201,0.000369,0.7
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,FALSE,1999,64,0.106,118.903,-3.205,0.226,0.779
Chris Brown,Yeah 3x,TRUE,2011,69,0.0445,130,-3.206,0.191,0.53
Sigma,Nobody To Love - Radio Edit,FALSE,2014,62,0.0436,175.001,-3.208,0.294,0.862
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",FALSE,2011,81,0.161,129.024,-3.214,0.417,0.103
Adam Lambert,Ghost Town,TRUE,2015,46,0.046,119.955,-3.215,0.403,0.794
Eminem,Berzerk,TRUE,2013,66,0.333,95.084,-3.218,0.23,0.569
Fetty Wap,679 (feat. Remy Boyz),TRUE,2015,74,0.318,190.05,-3.226,0.0288,0.499
Madonna,Die Another Day,FALSE,2003,53,0.0901,123.993,-3.237,0.0622,0.1
YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",TRUE,2018,68,0.331,203.911,-3.24,0.037,0.592
U2,Sometimes You Can't Make It On Your Own,FALSE,2004,56,0.0247,96,-3.241,0.0243,0.41
Sam Smith,Too Good At Goodbyes,FALSE,2017,79,0.0432,91.873,-3.254,0.0858,0.869
Lil Wayne,Right Above It,TRUE,2010,68,0.356,76.052,-3.261,0.0281,0.532
Alex & Sierra,Little Do You Know,FALSE,2014,75,0.0323,145.879,-3.263,0.0135,0.66
Red Hot Chili Peppers,Otherside,FALSE,1999,78,0.0574,123.229,-3.265,0.00316,0.513
Ronan Keating,If Tomorrow Never Comes,FALSE,2002,60,0.028,79.01,-3.267,0.0011,0.96
Coldplay,Every Teardrop Is a Waterfall,FALSE,2011,69,0.0396,117.98,-3.284,0.0796,0.221
Jennifer Lopez,On The Floor,FALSE,2011,79,0.0496,130,-3.292,0.049,0.596
Chris Brown,Beautiful People,FALSE,2019,53,0.161,127.898,-3.293,0.0319,0.796
Coldplay,Speed of Sound,FALSE,2005,69,0.0577,123.067,-3.295,0.0875,0.484
DMX,Party Up,TRUE,1999,71,0.347,201.936,-3.302,0.0738,0.53
G-Eazy,Him & I (with Halsey),TRUE,2017,75,0.0868,87.908,-3.304,0.0642,0.66
James Morrison,Wonderful World,FALSE,2006,49,0.029,78.969,-3.309,0.262,0.25
Chris Brown,With You,FALSE,2007,70,0.0698,86.009,-3.318,0.271,0.29
One Direction,Story of My Life,FALSE,2013,81,0.0477,121.07,-3.32,0.000526,0.182
JAY-Z,Numb / Encore,TRUE,2004,76,0.166,107.045,-3.321,0.279,0.786
T.I.,Dead And Gone,TRUE,2008,68,0.259,135.021,-3.34,0.00615,0.74
Akon,Locked Up,TRUE,2004,16,0.101,89.987,-3.344,0.11,0.695
Avril Lavigne,Nobody's Home,FALSE,2004,61,0.0497,185.406,-3.347,0.0369,0.962
Limp Bizkit,Rollin' (Air Raid Vehicle),TRUE,2000,73,0.171,96.306,-3.358,0.00591,0.709
Gym Class Heroes,Cookie Jar (feat. The-Dream),TRUE,2008,54,0.0282,113.053,-3.363,0.071,0.478
Jason Derulo,Whatcha Say,FALSE,2010,70,0.0779,144.036,-3.363,0.071,0.478
Klingande,Jubel - Radio Edit,FALSE,2013,50,0.0343,124.938,-3.364,0.0191,0.878
Drake,Forever,TRUE,2009,73,0.342,104.02,-3.365,0.000235,0.38
Rag'n'Bone Man,Skin,FALSE,2017,67,0.31,170.661,-3.37,0.0847,0.43
Avicii,Wake Me Up,FALSE,2013,6,0.0523,124.08,-3.382,0.0811,0.613
George Michael,Amazing,FALSE,2004,57,0.0394,128.429,-3.383,0.497,0.844
T-Pain,Bartender (feat. Akon),TRUE,2007,3,0.133,104.987,-3.386,0.0506,0.551
The Ting Tings,Shut Up and Let Me Go,FALSE,2007,55,0.0581,107.993,-3.386,0.0506,0.551
Ludacris,My Chick Bad,TRUE,2010,68,0.378,84.789,-3.398,0.0338,0.654
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),FALSE,2019,40,0.355,195.685,-3.399,0.0934,0.825
Tiësto,Red Lights,FALSE,2013,0,0.0377,124.989,-3.405,0.129,0.51
The Chainsmokers,Roses,FALSE,2015,73,0.0561,100.001,-3.406,0.37,0.538
Snow Patrol,You're All I Have,FALSE,2006,35,0.045,132.013,-3.409,0.0195,0.845
Paulo Londra,Adan y Eva,FALSE,2019,72,0.336,171.993,-3.416,0.174,0.839
Major Lazer,Lean On (feat. MØ & DJ Snake),FALSE,2015,73,0.0625,98.007,-3.417,0.26,0.751
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,FALSE,2006,17,0.0603,127.894,-3.425,0.00022,0.715
Katy Perry,Last Friday Night (T.G.I.F.),FALSE,2012,74,0.0415,126.03,-3.428,0.0434,0.762
Frank Ocean,Lost,TRUE,2012,64,0.226,123.061,-3.435,0.0558,0.618
Kylie Minogue,Love at First Sight,FALSE,2001,55,0.0428,124.994,-3.442,0.0179,0.875
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),TRUE,2012,1,0.293,94.992,-3.443,0.027,0.358
Anne-Marie,2002,FALSE,2018,80,0.117,96.133,-3.445,0.542,0.442
MARINA,How to Be a Heartbreaker,FALSE,2012,50,0.0506,140.05,-3.446,0.00473,0.282
LL Cool J,Luv U Better,FALSE,2002,2,0.239,95.022,-3.451,0.0996,0.387
DJ Snake,Middle,FALSE,2016,0,0.0436,104.981,-3.456,0.0022,0.365
Beyoncé,Sweet Dreams,FALSE,2008,48,0.111,121.949,-3.462,0.0296,0.807
Tinashe,2 On (feat. ScHoolboy Q),TRUE,2014,71,0.107,101.013,-3.464,0.0366,0.193
Sidney Samson,Riverside,TRUE,2009,47,0.0445,125.997,-3.472,0.0178,0.37
Black Eyed Peas,My Humps,FALSE,2005,67,0.222,123.95,-3.475,0.00542,0.549
Paramore,Misery Business,FALSE,2007,72,0.0735,172.977,-3.476,0.0467,0.413
Fergie,Fergalicious,TRUE,2006,63,0.316,129.055,-3.486,0.157,0.861
Lil Wayne,Got Money,TRUE,2008,58,0.118,82.48,-3.486,0.157,0.861
Madonna,Hung Up,FALSE,2005,74,0.0452,125.02,-3.489,0.0193,0.398
Rihanna,SOS,FALSE,2006,73,0.0361,137.046,-3.489,0.0193,0.398
Akon,Smack That,TRUE,2006,58,0.0475,118.988,-3.495,0.00379,0.686
Amy Winehouse,Rehab,FALSE,2006,71,0.0552,71.815,-3.499,0.129,0.305
James Morrison,I Won't Let You Go,FALSE,2011,64,0.0304,105.955,-3.499,0.0536,0.438
Rihanna,Shut Up And Drive,FALSE,2008,69,0.0349,132.964,-3.502,0.191,0.73
Fall Out Boy,Thnks fr th Mmrs,FALSE,2007,76,0.0623,154.837,-3.509,0.00141,0.607
Kanye West,Flashing Lights,TRUE,2007,52,0.0399,90.482,-3.51,0.0772,0.529
Pendulum,Propane Nightmares,FALSE,2008,57,0.0825,173.992,-3.512,0.0933,0.972
Chord Overstreet,Hold On,FALSE,2017,80,0.0526,119.949,-3.515,0.00383,0.374
Wiz Khalifa,See You Again (feat. Charlie Puth),FALSE,2015,81,0.0815,80.025,-3.519,0.0467,0.96
Nelly Furtado,Promiscuous,FALSE,2006,82,0.0506,114.328,-3.52,0.0322,0.801
Nelly,Hot In Herre,TRUE,2002,75,0.12,107.075,-3.523,0.0619,0.827
Destiny's Child,Say My Name,FALSE,1999,75,0.102,138.009,-3.525,0.273,0.734
Akon,Beautiful,FALSE,2008,65,0.0889,130.015,-3.527,0.258,0.65
DJ Sammy,Heaven,FALSE,2002,63,0.0548,137.965,-3.538,0.0302,0.56
Enrique Iglesias,Bailando - Spanish Version,FALSE,2014,66,0.105,90.949,-3.539,0.0703,0.348
21 Savage,a lot,TRUE,2018,78,0.086,145.972,-3.539,0.0604,0.612
David Guetta,Without You (feat. Usher),FALSE,2012,70,0.0285,127.884,-3.541,0.000102,0.88
50 Cent,21 Questions,TRUE,2003,72,0.299,92.729,-3.552,0.0199,0.873
Lil Jon & The East Side Boyz,Get Low,FALSE,2002,47,0.0396,101.043,-3.554,0.111,0.594
A1,Caught in the Middle,FALSE,2001,53,0.034,96.072,-3.557,0.0602,0.746
Kylie Minogue,I Believe in You,FALSE,2004,47,0.0704,120.939,-3.56,0.0581,0.962
Coldplay,A Sky Full of Stars,FALSE,2014,80,0.0279,124.97,-3.565,0.0215,0.72
Houston,I Like That,FALSE,2004,59,0.0968,106.997,-3.567,0.0697,0.325
Selena Gomez,Same Old Love,FALSE,2015,69,0.0304,98.02,-3.578,0.0132,0.504
Britney Spears,I'm a Slave 4 U,FALSE,2001,69,0.106,110.027,-3.579,0.415,0.963
Westlife,Mandy,FALSE,2003,57,0.0278,105.678,-3.587,0.0733,0.908
Usher,Hey Daddy (Daddy's Home),FALSE,2010,60,0.0286,95.975,-3.599,0.0121,0.163
Clean Bandit,Tears (feat. Louisa Johnson),FALSE,2016,60,0.0446,130.037,-3.599,0.0124,0.657
Maroon 5,Cold (feat. Future),TRUE,2017,0,0.113,99.905,-3.6,0.00423,0.706
Natasha Bedingfield,Unwritten,FALSE,2004,2,0.0399,100.011,-3.607,0.0132,0.734
Flo Rida,Right Round,FALSE,2009,74,0.0551,124.986,-3.61,0.0394,0.588
Katy Perry,Firework,FALSE,2010,72,0.049,124.071,-3.614,0.00453,0.81
Neon Trees,Animal,FALSE,2010,64,0.0437,147.99,-3.616,0.014,0.277
Bridgit Mendler,Ready or Not,FALSE,2012,72,0.0509,93.043,-3.617,0.00726,0.952
Jamelia,Superstar,FALSE,2003,69,0.0356,110.01,-3.626,0.163,0.339
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",FALSE,2010,77,0.0475,128.044,-3.631,0.385,0.539
Duke Dumont,Need U (100%) [feat. A*M*E] - Radio Edit,FALSE,2013,27,0.049,124.047,-3.632,0.039,0.542
Backstreet Boys,Incomplete,FALSE,2005,63,0.0331,133.631,-3.638,0.0248,0.777
6ix9ine,GUMMO,TRUE,2018,63,0.172,157.036,-3.641,0.167,0.472
Meek Mill,Going Bad (feat. Drake),TRUE,2018,78,0.0905,86.003,-3.641,0.0376,0.675
Jax Jones,Breathe,FALSE,2017,58,0.0363,125.985,-3.645,0.0431,0.298
Ciara,Promise,FALSE,2006,56,0.0425,123.279,-3.647,0.114,0.596
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),FALSE,2003,55,0.0317,127.932,-3.651,0.106,0.889
Kelly Rowland,Stole,FALSE,2002,54,0.0594,79.993,-3.657,0.107,0.525
Eminem,Just Lose It,TRUE,2004,67,0.0467,121.003,-3.66,0.000516,0.177
Scissor Sisters,I Don't Feel Like Dancin',FALSE,2006,63,0.0276,108.023,-3.667,0.423,0.167
